factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope
rtl_seg,1824,0.21,1076,5,1,5,1,12,composite,3,0,0,0,0,3,0,0,0,0,0,9.476706416,1.5,0,8
rtl_seg,1829,0.11,1210,5,0,5,1,12,composite,3,0,0,0,0,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,1843,0.28,1750,5,0,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,1849,0.26,2010,5,1,5,1,12,composite,6.5,0,0,0,0,4,0,0,0,0,0,3.779595682,1.5,0,8
rtl_seg,1873,0.14,5180,5,2,5,1,12,composite,8,0,0,0,0,3,0,0,0,1,0,6.949105762,1.5,0,8
rtl_seg,1896,0.76,3644,5,11,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,6.57561236,1.5,0,8
rtl_seg,1897,0.22,3644,5,1,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,4.530122887,1.5,0,8
rtl_seg,1907,0.38,2100,5,4,5,1,12,composite,6,0,0,0,0,3,0,0,0,0,0,2.623752502,4.5,0,8
rtl_seg,1931,0.17,180,5,1,5,1,12,composite,1,0,0,0,0,6,0,0,0,0,0,0,4.5,0,8
rtl_seg,1934,0.13,3592,5,0,5,1,12,composite,8,0,0,0,0,4,0,0,0,0,1,108.4679805,1.5,0,8
rtl_seg,1936,0.21,3592,5,0,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,4.704630848,1.5,0,8
rtl_seg,1944,0.25,2270,5,3,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,15.69898166,1.5,0,8
rtl_seg,1950,0.18,2270,5,1,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,11.06181142,1.5,0,8
rtl_seg,1960,0.15,180,5,1,5,1,12,composite,1,0,0,0,0,3,0,0,0,0,0,20.35081586,4.5,0,8
rtl_seg,1992,0.94,1910,5,12,5,1,12,paved,7,0,0,0,0,3,0,0,0,0,0,10.58855358,1.5,0,8
rtl_seg,2035,0.24,1320,5,2,5,1,12,composite,7,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,2041,0.18,1320,5,2,5,1,12,composite,7,0,0,0,0,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,2043,0.82,2236,5,5,5,1,12,paved,6,0,0,0,0,2,0,0,0,0,0,2.430223289,1.5,0,8
rtl_seg,2069,0.41,1876,5,4,5,1,12,composite,8,0,0,0,0,2,1,0,0,0,0,7.311147184,4.5,0,8
rtl_seg,2080,0.29,390,5,1,5,1,12,composite,4.5,0,0,0,0,5,0,0,0,0,0,6.831094314,4.5,0,8
rtl_seg,2089,0.19,1390,5,1,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,5.164295524,1.5,0,8
rtl_seg,2091,0.13,1390,5,0,5,1,12,composite,8,0,0,0,0,4,0,0,0,0,0,7.857225598,1.5,0,8
rtl_seg,2100,0.36,2258,5,0,5,1,12,composite,3,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
