factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope,spf_kabco,af_lane_width,af_shld,af_hor_curve,af_se_var,af_grade,af_dwy_density,af_rumble_cl,af_passing_lanes,af_twltl,af_rhr,af_lighting,af_ase,af_total,pred_kabco,exp_kabco,spf_kabc,spf_kab,spf_o,af_sideslope,af_median_width
4d,9148,0.85,10390,5.0,16,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.6724029922871728,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.027534362978429,13.348264766684412,0.8699139268035618,0.5575275666300608,0.802489065483611,1.0,0.96
4d,9149,0.74,11606,5.0,25,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.6352194061653718,1.0,1.0,,,,,,,,,1.0,1.0,0.96,7.849053149593784,19.72851168406862,0.842048839392492,0.5346747979989653,0.7931705667728798,1.0,0.96
4d,9150,0.85,10390,5.0,19,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.6724029922871728,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.027534362978429,15.35042971011103,0.8699139268035618,0.5575275666300608,0.802489065483611,1.0,0.96
4d,9151,0.94,10390,5.0,19,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.8494809561764027,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.877508589646734,15.633141070295522,0.9620224602298212,0.6165598972144202,0.8874584959465815,1.0,0.96
4d,9152,0.94,10390,5.0,24,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.8494809561764027,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.877508589646734,18.97008264267322,0.9620224602298212,0.6165598972144202,0.8874584959465815,1.0,0.96
4d,9156,0.85,10792,5.0,8,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.7403442315540754,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.353652311459562,8.11452385229482,0.9021323246245936,0.576335604219625,0.8382119069294818,1.0,0.96
4d,9158,0.82,10792,5.0,15,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.6789203174992255,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.058817523996282,12.75222462606714,0.8702923602260785,0.5559943476001088,0.8086279572731471,1.0,0.96
4d,9159,0.82,10792,5.0,26,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.6789203174992255,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.058817523996282,20.190075208624247,0.8702923602260785,0.5559943476001088,0.8086279572731471,1.0,0.96
4d,9160,0.82,10792,5.0,19,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.6789203174992255,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.058817523996282,15.456897565178814,0.8702923602260785,0.5559943476001088,0.8086279572731471,1.0,0.96
4d,9161,0.82,10792,5.0,22,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.6789203174992255,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.058817523996282,17.48540226951257,0.8702923602260785,0.5559943476001088,0.8086279572731471,1.0,0.96
4d,9162,0.61,10792,5.0,11,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.2489529191152775,1.0,1.0,,,,,,,,,1.0,1.0,0.96,5.9949740117533326,9.379213599243691,0.647412609436473,0.4136055512634956,0.6015403096788045,1.0,0.96
4d,9163,0.32,10792,5.0,8,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,0.6551884165850637,1.0,1.0,,,,,,,,,1.0,1.0,0.96,3.1449043996083055,6.427765821403197,0.339626286917494,0.21697340394150588,0.31556212966756964,1.0,0.96
4d,9166,0.66,11264,5.0,8,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.4133893599691352,1.0,1.0,,,,,,,,,1.0,1.0,0.96,6.784268927851849,7.618165466305646,0.7298021690587626,0.4645674053667267,0.6835871909103726,1.0,0.96
4d,9167,0.93,11264,5.0,8,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.9915940981383267,1.0,1.0,,,,,,,,,1.0,1.0,0.96,9.559651671063968,8.489852469999022,1.0283576018555292,0.6546177075622057,0.9632364962827975,1.0,0.96
4d,9168,0.26,11264,5.0,7,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,0.556789747866629,1.0,1.0,,,,,,,,,1.0,1.0,0.96,2.6725907897598193,5.640855436081712,0.2874978241746641,0.18301140211416506,0.269291923691965,1.0,0.96
4d,9173,0.85,10792,5.0,19,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.7403442315540754,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.353652311459562,15.552374434851924,0.9021323246245936,0.576335604219625,0.8382119069294818,1.0,0.96
4d,9182,0.7,14460,5.0,2,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.948080414795086,1.0,1.0,,,,,,,,,1.0,1.0,0.96,9.350785991016412,3.9152140630498917,0.9832838997252188,0.6129295497273975,0.9647965150698673,1.0,0.96
4d,9185,0.42,14172,5.0,8,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.1444395579226387,1.0,1.0,,,,,,,,,1.0,1.0,0.96,5.493309878028666,7.3366499021696745,0.5787086707916392,0.361347905194945,0.5657308871309995,1.0,0.96
4d,9186,0.67,14172,5.0,17,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,60,8,1.8256535804956384,1.0,1.0,,,,,,,,,1.0,1.0,0.96,8.763137186379064,14.820263579714663,0.9231781176914245,0.5764359440014599,0.9024754628042139,1.0,0.96
4d,9204,0.64,16394,5.0,10,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,50,8,2.031780403132952,1.0,1.0,,,,,,,,,1.0,1.0,0.97,9.854134955194816,9.96584972437353,1.0138829062901649,0.6253743073434691,1.017897496842787,1.0,0.97
4d,9205,0.64,16394,5.0,14,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,50,8,2.031780403132952,1.0,1.0,,,,,,,,,1.0,1.0,0.97,9.854134955194816,13.02936008980533,1.0138829062901649,0.6253743073434691,1.017897496842787,1.0,0.97
4d,9206,0.16,16908,5.0,9,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,50,8,0.5246637298710136,1.0,1.0,,,,,,,,,1.0,1.0,0.97,2.544619089874416,7.525812409231486,0.2610790424549967,0.16061941177653238,0.2635846874160169,1.0,0.97
4d,9207,0.16,16908,5.0,3,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,50,8,0.5246637298710136,1.0,1.0,,,,,,,,,1.0,1.0,0.97,2.544619089874416,2.8960066189545817,0.2610790424549967,0.16061941177653238,0.2635846874160169,1.0,0.97
